Image,F1,Jaccard,Recall,Precision,,,
941.png,0.9028960817717206,0.8229813664596274,0.9028960817717206,0.9028960817717206,,,
347.png,0.9504870129870129,0.905645785,0.938301282,0.9629934210526315,,,
247.png,0.9161747343565525,0.8453159041394336,0.9675810473815462,0.8699551569506726,,,
837.png,0,0,0,0,,,
1225.png,0.2906610703043022,0.17004297114794353,0.8821656050955414,0.17399497487437185,,,
1428.png,0.9768421052631578,0.9547325102880658,0.9789029535864979,0.9747899159663865,,,
2926.png,0,0,0,0,,,
1774.png,0.8612612612612612,0.7563291139240507,0.9781718963165075,0.769313305,,,
2107.png,0.8475080585172328,0.7353700516351118,0.780365297,0.9272924579489962,,,
552.png,0.965553236,0.9334006054490414,0.9555785123966942,0.9757383966244726,,,
925.png,0.5866417561886969,0.4150693985459352,0.9602446483180428,0.42232683254875586,,,
284.png,0,0,0,0,,,
2780.png,0,0,0,0,,,
860.png,0.7731871838111299,0.6302405498281787,0.65035461,0.9532224532224532,,,
375.png,0.9767031415460643,0.9544670576060711,0.9878614780435558,0.9657940663176265,,,
834.png,0.7988587731811699,0.665083135,0.8,0.7977207977207977,,,
2642.png,0,0,0,0,,,
1375.png,0.7979539641943734,0.6638297872340425,1,0.6638297872340425,,,
681.png,0.9810126582278481,0.9627329192546584,0.9825673534072901,0.9794628751974723,,,
384.png,0.9484145764316138,0.9018901890189019,0.998007968,0.9035166816952209,,,
2154.png,0,0,0,0,,,
1657.png,0.8907563025210083,0.803030303,0.9875776397515528,0.8112244897959183,,,
69.png,0.9475197699496766,0.9002732240437158,0.9762962962962963,0.9203910614525139,,,
1568.png,0.9161290322580645,0.8452380952380952,0.9861111111111112,0.8554216867469879,,,
222.png,0.9841958475364115,0.9688834655277608,0.9748311847759361,0.9937421777221527,,,
269.png,0.8733108108108106,0.775112444,0.9736346516007532,0.7917304747320061,,,
3041.png,0.13435700575815737,0.072016461,0.4117647058823529,0.080275229,,,
1043.png,0.9535978480161398,0.9113110539845758,0.9491298527443106,0.9581081081081081,,,
2479.png,0.8583558471632574,0.7518593644354293,0.9504273504273504,0.7825475017593244,,,
2550.png,0.6035353535353536,0.4321880650994575,0.43853211009174314,0.9676113360323887,,,
393.png,0,0,0,0,,,
110.png,0.39103869653767825,0.2430379746835443,0.2445859872611465,0.9746192893401016,,,
3033.png,0.9130484072100669,0.8400083437630371,0.8444118263786957,0.9938302073050346,,,
2233.png,0.4108037464604661,0.2584978070175439,0.7944397641112048,0.27702702702702703,,,
2965.png,0.30927835051546393,0.18292682926829268,0.1876675603217158,0.8786610878661087,,,
581.png,0.9746835443037974,0.9506172839506173,0.9685534591194969,0.9808917197452229,,,
1089.png,0.768074031,0.6234741784037559,0.6281929990539262,0.9880952380952381,,,
2627.png,0.5477772100153296,0.3771991555242787,0.6725219573400251,0.46206896551724136,,,
1411.png,0.9511400651465798,0.906832298,0.9898305084745763,0.9153605015673981,,,
244.png,0.9644886363636364,0.9314128943758574,0.9741750358680057,0.9549929676511955,,,
2609.png,0.5741878841088676,0.4027093596059113,0.6258373205741626,0.5304136253041363,,,
855.png,0.902516838,0.8223514211886305,0.9231327048585932,0.8828016643550625,,,
2909.png,0.7227676484338476,0.5658857979502196,0.5675477239353891,0.9948519948519948,,,
1207.png,0.8770764119601329,0.7810650887573964,0.8098159509202454,0.9565217391304348,,,
2593.png,0.7639825466084887,0.6181001283697047,0.9856704196519959,0.6237046632124352,,,
184.png,0,0,0,0,,,
2060.png,0,0,0,0,,,
159.png,0.9514807813484562,0.9074519230769231,0.9373060211049038,0.9660908509277031,,,
512.png,0.9818181818181818,0.9642857142857143,0.9765664798777381,0.9871266735324408,,,
2732.png,0.7295081967213114,0.5741935483870968,0.7807017543859649,0.6846153846153846,,,
2994.png,0,0,0,0,,,
2394.png,0.5410309278350516,0.3708309779536461,0.3923444976076555,0.8711819389110226,,,
1420.png,0.9525773195876289,0.9094488188976378,0.9390243902439024,0.9665271966527197,,,
1814.png,0.8404255319148936,0.7247706422018348,0.9916317991631799,0.7292307692307692,,,
782.png,0.9004585918532506,0.8189401373895977,0.9982057416267942,0.8201474201474201,,,
1437.png,0.8814293448835951,0.7879961277831559,0.996328029,0.7902912621359224,,,
2300.png,0.4487722269263336,0.2893013100436681,0.9566787003610109,0.29314159292035397,,,
2801.png,0.8746882793017456,0.7772853185595567,0.9473328831870358,0.8123914302258252,,,
2418.png,0.8773963441818993,0.7815726767275616,0.8019559902200489,0.968503937,,,
1955.png,0.020151133501259445,0.010178117048346057,0.010178117048346057,1,,,
1342.png,0.9786628733997155,0.95821727,0.9772727272727273,0.98005698,,,
1585.png,0.926917511,0.863789616,0.9907192575406032,0.8708361658735554,,,
6.png,0.8994197292069632,0.8172231985940246,0.8333333333333334,0.976890756,,,
718.png,0.7682064086558468,0.6236486486486487,0.6418636995827538,0.9564766839378238,,,
437.png,0.9169054441260744,0.8465608465608465,0.975609756,0.8648648648648649,,,
1792.png,0.8469387755102041,0.7345132743362832,0.9222222222222223,0.7830188679245284,,,
